              SYMBOL,  5_DAY_MOVE, 20_DAY_MOVE
          DHAMPURSUG,       11.08,        4.19
                GSPL,       10.80,       21.72
                 IVC,       10.73,       15.94
          TEXMOPIPES,       10.71,       49.73
          JAYNECOIND,       10.59,       12.57
            BILPOWER,       10.53,      -12.50
           NETWORK18,       10.44,       29.45
          WEBELSOLAR,       10.40,       63.47
            A2ZINFRA,       10.37,        3.88
          JISLJALEQS,       10.36,       19.24
               RAJTV,       10.34,        9.43
               REFEX,       10.13,      -19.81
          CHAMBLFERT,       10.12,       14.45
          CYBERMEDIA,       10.11,       16.67
            MERCATOR,       10.09,       16.13
            BEDMUTHA,       10.01,       40.19
              PINCON,       10.00,       13.17
              RADICO,       10.00,        1.61
                SPAL,        1.99,       -4.62
           GOKULAGRO,        1.97,       -3.90
            TVSMOTOR,        1.97,       12.72
                 PNC,        1.95,       10.85
                M100,        1.94,        6.18
                KAYA,        1.92,       15.71
            XLENERGY,        1.92,        1.92
           JINDALSAW,        1.91,       -0.42
           ARSSINFRA,        1.90,        7.81
                HDFC,        1.89,        3.49
                RHFL,        1.89,        1.38
          SATHAISPAT,        1.89,       12.18
             UCOBANK,        1.89,        6.79
            AARTIIND,        1.88,        2.25
          ADANIPORTS,        1.88,        0.12
                 GNA,        1.87,       15.63
               ELAND,        1.86,        8.11
               CANDC,        1.85,       55.95
          HISARMETAL,        1.85,       -4.29
           ZUARIGLOB,        1.85,       12.47
          CARERATING,        1.84,        6.11
          JETAIRWAYS,        1.84,        5.02
          BALMLAWRIE,        1.83,        0.48
              INDIGO,        1.83,       13.52
          FAGBEARING,        1.81,       15.45
                TAKE,        1.80,       -1.99
          MOTHERSUMI,        1.77,        4.17
              SUBROS,        1.76,       19.35
                ISFT,        1.75,       17.11
          SUPERHOUSE,        1.75,        3.30
             TRIDENT,        1.75,       -4.27
           NEXTMEDIA,        1.74,        4.47
           ORIENTPPR,        1.74,       20.21
              RECLTD,        1.74,       23.03
           GLOBUSSPR,        1.72,       -5.07
          SOMANYCERA,        1.72,        7.39
          CANFINHOME,        1.71,       20.52
           ELECTCAST,        1.71,       26.77
           CHROMATIC,        1.69,        7.14
                NSIL,        1.68,        2.95
            UTTAMSTL,        1.67,       -1.77
           BSELINFRA,        1.65,       41.38
          NAVINFLUOR,        1.64,       11.04
             TFCILTD,        1.64,       13.36
            GLENMARK,        1.63,        0.90
              IPAPPM,        1.63,       16.38
           POWERGRID,        1.63,        6.50
           TGBHOTELS,        1.63,       -1.06
             KTKBANK,        1.61,       12.03
          CIGNITITEC,        1.60,       -6.07
            EXIDEIND,        1.60,        8.62
           ORIENTCEM,        1.60,       19.41
           BODALCHEM,        1.56,       13.00
           HCL-INSYS,        1.56,        8.61
                IFCI,        1.56,       -2.98
            SUNDARAM,        1.56,       16.07
              VOLTAS,        1.56,        7.22
          EUROTEXIND,        1.54,       17.36
          ADHUNIKIND,        1.53,        6.35
              VIPIND,        1.53,       17.96
               IMPAL,        1.51,        8.37
           INFRABEES,        1.49,        4.18
            LGBFORGE,        1.49,        9.68
          HOTELRUGBY,        1.47,       15.00
            PRECWIRE,        1.47,       15.54
           TECHNOFAB,        1.47,        9.79
                BHEL,        1.45,        4.32
                BRFL,        1.45,       -8.69
                 IOB,        1.44,        5.43
          SUDARSCHEM,        1.44,        4.49
          CENTURYPLY,        1.43,        5.48
               SICAL,        1.43,        5.67
            IGARASHI,        1.42,       -2.87
            TEXINFRA,        1.42,        3.25
                ZEEL,        1.42,        0.95
                LITL,        1.41,        4.35
          VIJAYABANK,        1.39,       11.49
              LUXIND,        1.38,       15.26
            RELINFRA,        1.38,        0.60
             SIEMENS,        1.38,        5.67
            TATACHEM,        1.38,       10.71
              DAAWAT,        1.37,       14.56
           PAPERPROD,        1.37,        8.83
           COX&KINGS,        1.36,        5.43
                NIBL,        1.36,        1.52
          BLBLIMITED,        1.35,        0.67
           ELECTHERM,        1.35,       -2.16
          HINDUJAVEN,        1.35,        2.20
              MAXVIL,        1.35,       25.68
                RSWM,        1.35,       -1.85
            RSYSTEMS,        1.35,       -1.13
               TECHM,        1.35,      -11.30
          BHARATFORG,        1.34,        6.50
          JPINFRATEC,        1.34,        9.66
                LPDC,        1.32,       14.93
          IBULHSGFIN,        1.31,        6.06
          NATNLSTEEL,        1.31,       18.04
             PRAJIND,        1.31,        1.50
              TIMKEN,        1.30,       17.94
          COSMOFILMS,        1.28,        3.73
             RUCHIRA,        1.28,       17.29
                AMTL,        1.27,       -2.05
                GAIL,        1.27,        6.00
          ICICIPRULI,        1.27,       10.89
           KAUSHALYA,        1.27,      -13.04
               TULSI,        1.27,       -6.98
          DAMODARIND,        1.26,       11.52
          HITECHGEAR,        1.26,       18.99
          TATAGLOBAL,        1.24,       -0.20
             UJJIVAN,        1.22,       -5.10
              AGCNET,        1.21,       17.92
                HSCL,        1.21,       15.38
              ELECON,        1.20,       22.01
          LICNETFN50,        1.20,        1.14
            MAXINDIA,        1.19,       -0.63
          EMAMIINFRA,        1.18,       16.66
                KECL,        1.18,        7.77
              FELDVR,        1.16,       16.92
          VARDHACRLC,        1.16,       -0.57
              MARUTI,        1.15,        2.50
          SHRIPISTON,        1.14,        1.76
          GODFRYPHLP,        1.13,       -3.84
           SANGHIIND,        1.13,        1.34
              DONEAR,        1.12,       -6.51
           SHREERAMA,        1.12,        8.43
           BANARISUG,        1.11,        5.38
                BEPL,        1.11,       43.96
          CENTURYTEX,        1.11,       12.83
                NHPC,        1.11,        5.99
            CAPTRUST,        1.10,       -7.42
              HANUNG,        1.10,        1.10
           LYPSAGEMS,        1.10,       -0.22
          NAGREEKEXP,        1.10,       38.33
             AHLWEST,        1.09,        5.22
                 MIC,        1.08,        4.87
            RAMCOCEM,        1.08,        2.36
