              SYMBOL,  5_DAY_MOVE, 20_DAY_MOVE          CYBERMEDIA,        9.94,       11.24
            JSWSTEEL,        2.78,        3.05
          TRITURBINE,        2.78,       12.06
           ESSELPACK,        2.77,        1.90
          PATSPINLTD,        2.77,       43.75
              AJMERA,        2.75,        5.95
                ALBK,        2.75,        3.97
                ISFT,        2.73,       19.24
                KECL,        2.73,       10.32
          PANACEABIO,        2.73,        4.27
             PRAJIND,        2.72,        2.98
             EQUITAS,        2.71,        6.63
          HONDAPOWER,        2.71,        8.99
                 SHK,        2.71,        3.24
           OMKARCHEM,        2.70,       15.64
            INDOTHAI,        2.68,        9.00
          PONNIERODE,        2.68,       -0.30
                IIFL,        2.66,       20.61
           LAXMIMACH,        2.65,       12.59
                RIIL,        2.65,        8.59
              VGUARD,        2.65,       11.18
            CROMPTON,        2.64,        8.92
           INFRABEES,        2.64,        5.62
            KOHINOOR,        2.64,        6.53
          BARTRONICS,        2.63,       17.39
           COUNCODOS,        2.63,       13.04
                GATI,        2.63,       -1.11
          SUPERHOUSE,        2.63,        4.59
          HINDCOPPER,        2.62,       -0.37
          NATNLSTEEL,        2.62,       18.36
           RATNAMANI,        2.62,        6.17
             SUNTECK,        2.62,       16.89
          LGBBROSLTD,        2.61,        4.18
             TRIDENT,        2.61,       -2.09
          NIPPOBATRY,        2.60,        5.15
             SOMATEX,        2.58,       26.69
          SHRIRAMEPC,        2.57,       -3.29
             DCBBANK,        2.56,        9.44
                 DEN,        2.56,       21.11
              SYNCOM,        2.56,        7.14
          TATAGLOBAL,        2.56,        0.53
           NITINFIRE,        2.54,        7.06
            EIDPARRY,        2.52,        5.11
           COFFEEDAY,        2.48,        7.16
            INFIBEAM,        2.48,      -20.45
                RAIN,        2.48,        5.40
           AMBUJACEM,        2.47,        7.31
              AMDIND,        2.47,       18.60
                 LTI,        2.47,        4.92
               TECHM,        2.47,       -9.47
          TIRUMALCHM,        2.47,        3.07
               TULSI,        2.47,        1.22
            BLISSGVS,        2.46,       -4.71
          BALKRISIND,        2.45,        1.34
          MCDOWELL-N,        2.44,      -13.29
             VIVIDHA,        2.44,        5.00
          RANEHOLDIN,        2.42,       13.34
                ICIL,        2.39,       -4.90
                SKIL,        2.39,       -4.03
              M&MFIN,        2.37,        6.96
               TITAN,        2.37,        7.68
             VICEROY,        2.37,       13.10
          PREMIERPOL,        2.36,       -5.37
             RBLBANK,        2.35,       14.39
          AMRUTANJAN,        2.34,       23.53
                KICL,        2.34,        5.32
           LICHSGFIN,        2.34,        9.36
             SEPOWER,        2.34,       20.18
          AMARAJABAT,        2.33,       -0.05
           BALLARPUR,        2.33,        7.63
           ESABINDIA,        2.33,        7.56
                GAEL,        2.32,       19.60
                GNFC,        2.32,       11.55
            KAMDHENU,        2.31,        9.63
            SALSTEEL,        2.31,       33.00
             RUCHIRA,        2.30,       16.14
             MAANALU,        2.29,        1.92
          WALCHANNAG,        2.29,        6.48
           MALUPAPER,        2.27,       18.77
          SHRIRAMCIT,        2.27,       10.80
            CADILAHC,        2.25,        1.60
             DHUNINV,        2.25,       15.86
               CANDC,        2.24,       56.04
          LOKESHMACH,        2.24,        2.55
                 MRF,        2.24,        7.90
              TIMKEN,        2.24,       19.16
          LICNETFGSC,        2.23,        0.41
               SICAL,        2.23,        4.25
            FMGOETZE,        2.22,       25.92
            IGARASHI,        2.22,       -3.21
                VSSL,        2.22,      -13.79
             ABGSHIP,        2.21,       -0.48
                 EKC,        2.21,       11.56
          PILANIINVS,        2.21,        6.78
           POWERMECH,        2.21,        6.32
          TDPOWERSYS,        2.21,       21.72
           EICHERMOT,        2.20,        7.16
            MINDTREE,        2.20,       -4.07
          MOREPENLAB,        2.20,        7.44
            NLCINDIA,        2.20,       -2.73
              GEECEE,        2.19,       10.13
            LOTUSEYE,        2.19,        6.07
            TATACHEM,        2.19,       10.16
              SILINV,        2.18,       15.16
